trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,0,1,0,3,1,9.0,98.66163399999641,99.16143729999749,99.16143729999749,99.16143729999749,,left,-9.0,1,1,0.08149820000107866,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,4,1,9.0,99.26117299999896,99.76085069999681,99.76085069999681,99.76085069999681,,right,9.0,0,0,0.04451689999405062,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,5,1,10.0,99.82716919999802,100.32700499999919,100.32700499999919,100.32700499999919,,right,10.0,0,0,0.049175000000104774,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,6,1,11.0,100.3934395000033,100.89312020000216,100.89312020000216,100.89312020000216,,right,11.0,0,0,0.0916030000007595,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,7,1,12.0,101.00952479999978,101.50919620000059,101.50919620000059,101.50919620000059,,right,12.0,0,0,0.054930899997998495,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,8,1,13.0,101.59233349999704,102.09193789999699,102.09193789999699,102.09193789999699,,left,-13.0,1,1,0.03841209999518469,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,9,1,13.0,102.1584023999967,102.65804850000131,102.65804850000131,102.65804850000131,102.95761740000307,right,13.0,1,1,0.3212608999965596,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,10,1,13.0,103.00777620000008,103.50734060000104,103.50734060000104,103.50734060000104,,right,13.0,1,1,0.05496889999631094,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,11,0.5,12.0,103.59033490000002,104.09007620000193,104.09007620000193,104.09007620000193,,left,-12.0,0,0,0.04903179999382701,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,12,0.5,12.5,104.15648599999986,104.65625030000228,104.65625030000228,104.65625030000228,,left,-12.5,0,0,0.05903299999772571,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,13,0.5,13.0,104.7392863999994,105.23911840000073,105.23911840000073,105.23911840000073,105.53882539999904,right,13.0,0,0,0.2982354999985546,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,14,0.5,13.5,105.55522080000082,106.05498839999927,106.05498839999927,106.05498839999927,,left,-13.5,1,1,0.04889030000049388,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,15,0.5,13.5,106.12146789999679,106.62113020000106,106.62113020000106,106.62113020000106,106.92068260000087,left,-13.5,0,0,1.0432888999930583,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,16,0.5,14.0,107.68666819999635,108.18617400000221,108.18617400000221,108.18617400000221,108.48580070000025,right,14.0,0,0,0.9730354999992414,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,17,0.5,14.5,109.18523499999719,109.6849985000008,109.6849985000008,109.6849985000008,,right,14.5,0,0,0.14325400000234367,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,18,0.5,15.0,109.8512824999998,110.35100750000129,110.35100750000129,110.35100750000129,,left,-15.0,1,1,0.05891500000143424,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,19,0.5,15.0,110.43407209999714,110.93365939999785,110.93365939999785,110.93365939999785,,left,-15.0,1,1,0.06491919999825768,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,20,0.5,15.0,111.01677719999861,111.51653729999816,111.51653729999816,111.51653729999816,,left,-15.0,1,1,0.09972649999690475,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,21,0.5,14.5,111.63298829999985,112.13250300000072,112.13250300000072,112.13250300000072,112.43254519999755,right,14.5,1,1,0.2972896999999648,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,22,0.5,14.5,112.44888920000085,112.94842280000012,112.94842280000012,112.94842280000012,,right,14.5,0,0,0.20426499999302905,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,23,0.5,15.0,113.18139399999927,113.68118970000069,113.68118970000069,113.68118970000069,113.98066310000286,right,15.0,0,0,0.33607019999908516,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,24,0.5,15.5,114.0473748000004,114.5470015000028,114.5470015000028,114.5470015000028,114.84659829999873,left,-15.5,1,1,0.3152293999955873,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
1,0,1,0,25,0.5,15.5,114.87989489999745,115.37949990000197,115.37949990000197,115.37949990000197,,right,15.5,0,0,0.14516569999977946,677501,001,2023-09-07_11h09.48.820,adaptive_staircase,2023.1.3,60.045995233065234,
