trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
113,0,113,0,174.28903159999754,175.27492270001676,175.29146310000215,up,1,0.34743099997285753,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
114,0,114,0,175.6555778000038,176.6570708999643,176.6570708999643,down,1,0.4122605000156909,None,4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
115,0,115,0,177.09964829997625,178.08896570000798,178.1055483999662,up,1,0.396518100053072,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
116,0,116,0,178.5219128000317,179.52075879997574,179.53752999997232,down,0,0.1706708000274375,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
117,0,117,0,179.7301494999556,180.7198245000327,180.73646230006125,up,1,0.34320639993529767,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
118,0,118,0,181.09520209999755,182.08514980005566,182.10175999999046,down,0,0.21023239998612553,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
119,0,119,0,182.32923759997357,183.31733500002883,183.33404510002583,up,0,0.1446340000256896,None,-4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
120,0,120,0,183.49610270000994,184.49955700000282,184.49955700000282,down,1,0.11462650005705655,None,4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
121,0,121,0,184.64446750003844,185.63197700004093,185.64849529997446,up,0,0.057688700035214424,None,2,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
122,0,122,0,185.72460620000493,186.71412919997238,186.7307099000318,down,0,0.046864000032655895,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
123,0,123,0,186.79135309997946,187.77986689994577,187.79659729998093,down,0,0.7475401000119746,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
124,0,124,0,188.55574410001282,189.5449008999858,189.56162819999736,up,0,0.3049425999633968,None,-3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
125,0,125,0,189.88777939998545,190.877039300045,190.89376320003066,up,0,1.0281441999832168,None,-2,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
126,0,126,0,191.93723899999168,192.92501660005655,192.94184630003292,up,0,0.7917947999667376,None,-4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
127,0,127,0,193.75381380005274,194.7401784999529,194.75664489995688,up,0,0.509493299992755,None,-4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
128,0,128,0,195.28553860005923,196.27226919995155,196.28865869995207,up,0,0.3652318000094965,None,-5,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
129,0,129,0,196.66932999994606,197.6706269000424,197.6706269000424,down,1,0.23589030001312494,None,1,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
130,0,130,0,197.94772970001213,198.93610169994645,198.95277850003913,up,1,0.19484450004529208,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
131,0,131,0,199.1657468000194,200.15161299996544,200.16832050005905,down,0,0.3367823000298813,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
132,0,132,0,200.5271448000567,201.5169845999917,201.53363409999292,down,0,0.5312740000663325,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
133,0,133,0,202.0761516999919,203.06547749997117,203.08219690003898,up,1,0.16353369993157685,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
134,0,134,0,203.25968200003263,204.24779129994567,204.26441279996652,down,1,0.17918229999486357,None,2,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
135,0,135,0,204.45775079994928,205.4466712999856,205.46334939997178,up,0,0.39886610000394285,None,3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
136,0,136,0,205.87295079999603,206.86192789999768,206.87867490004282,down,0,0.1914892999920994,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
137,0,137,0,207.08740570000373,208.07758459995966,208.09429689997341,up,0,0.4117506999755278,None,-4,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
138,0,138,0,208.51984229998197,209.50933829997666,209.54715949995443,up,1,0.706734300008975,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
139,0,139,0,210.24723099998664,211.24111359997187,211.25766030000523,down,1,0.049533799989148974,None,-5,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
140,0,140,0,211.31143470003735,212.30675950006116,212.32348250003997,up,1,0.16189400001894683,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
141,0,141,0,212.49422870005947,213.48884899995755,213.50569859996904,down,1,0.41531299997586757,None,-3,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
142,0,142,0,213.9256858000299,214.9209335000487,214.9376616999507,up,1,0.39090090000536293,None,0,964250,001,2023-09-14_18h43.18.666,orientation discrimination task,2023.1.3,60.067347505375984,
